Attr,Top 3 Highest,Top 3 Lowest
PKatt,"Top 1: Cole Palmer(Team: Chelsea)
Top 2: Erling Haaland(Team: Manchester City)
Top 3: Mohamed Salah(Team: Liverpool)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
xG,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Mohamed Salah(Team: Liverpool)
Top 3: Alexander Isak(Team: Newcastle Utd)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
npxG,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Nicolas Jackson(Team: Chelsea)
Top 3: Dominic Solanke(Team: Bournemouth)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
npxG/Sh,"Top 1: Tim Ream(Team: Fulham)
Top 2: Deivid Washington(Team: Chelsea)
Top 3: Shandon Baptiste(Team: Brentford)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
G-xG,"Top 1: Phil Foden(Team: Manchester City)
Top 2: Callum Hudson-Odoi(Team: Nott'ham Forest)
Top 3: Jean-Philippe Mateta(Team: Crystal Palace)","Top 1 from bottom: Brennan Johnson(Team: Tottenham)
Top 2 from bottom: : Darwin Núñez(Team: Liverpool)
Top 3 from bottom: : Nicolas Jackson(Team: Chelsea)"
np:G-xG,"Top 1: Phil Foden(Team: Manchester City)
Top 2: Callum Hudson-Odoi(Team: Nott'ham Forest)
Top 3: Diogo Jota(Team: Liverpool)","Top 1 from bottom: Brennan Johnson(Team: Tottenham)
Top 2 from bottom: : Nicolas Jackson(Team: Chelsea)
Top 3 from bottom: : Darwin Núñez(Team: Liverpool)"
Pass_Cmp,"Top 1: Rodri(Team: Manchester City)
Top 2: Lewis Dunk(Team: Brighton)
Top 3: Pascal Groß(Team: Brighton)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Pass_Att,"Top 1: Rodri(Team: Manchester City)
Top 2: Lewis Dunk(Team: Brighton)
Top 3: Pascal Groß(Team: Brighton)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Pass_Cmp%,"Top 1: Deivid Washington(Team: Chelsea)
Top 2: Lewis Warrington(Team: Everton)
Top 3: Andrey Santos(Team: Nott'ham Forest)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
TotDist,"Top 1: Rodri(Team: Manchester City)
Top 2: Lewis Dunk(Team: Brighton)
Top 3: Virgil van Dijk(Team: Liverpool)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
PrgDist,"Top 1: Jordan Pickford(Team: Everton)
Top 2: Mark Flekken(Team: Brentford)
Top 3: Thomas Kaminski(Team: Luton Town)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Short_Cmp,"Top 1: Rodri(Team: Manchester City)
Top 2: Pascal Groß(Team: Brighton)
Top 3: Lewis Dunk(Team: Brighton)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
Short_Att,"Top 1: Rodri(Team: Manchester City)
Top 2: Pascal Groß(Team: Brighton)
Top 3: Lewis Dunk(Team: Brighton)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
